,ANO,DISTRITO,CONCELHO,NCCO
454,2014.0,Guarda,Aguiar da Beira,11
455,2014.0,Guarda,Almeida,15
456,2014.0,Guarda,Celorico Da Beira,3
457,2014.0,Guarda,Celorico da Beira,13
458,2014.0,Guarda,Figueira de Castelo Rodrigo,54
459,2014.0,Guarda,Fornos de Algodres,12
460,2014.0,Guarda,Gouveia,38
461,2014.0,Guarda,Guarda,35
462,2014.0,Guarda,Manteigas,1
463,2014.0,Guarda,Mêda,39
464,2014.0,Guarda,Pinhel,37
465,2014.0,Guarda,Sabugal,34
466,2014.0,Guarda,Seia,52
467,2014.0,Guarda,Trancoso,46
468,2014.0,Guarda,Vila Nova De Foz Côa,34
469,2014.0,Leiria,Alcobaça,39
470,2014.0,Leiria,Alvaiázere,15
471,2014.0,Leiria,Ansião,12
472,2014.0,Leiria,Batalha,4
473,2014.0,Leiria,Bombarral,29
474,2014.0,Leiria,Caldas Da Rainha,16
475,2014.0,Leiria,Caldas da Rainha,33
476,2014.0,Leiria,Castanheira De Pêra,4
477,2014.0,Leiria,Castanheira de Pêra,6
478,2014.0,Leiria,Figueiró dos Vinhos,13
479,2014.0,Leiria,Leiria,46
480,2014.0,Leiria,Marinha Grande,17
481,2014.0,Leiria,Nazaré,7
482,2014.0,Leiria,Pedrógão Grande,21
483,2014.0,Leiria,Peniche,46
484,2014.0,Leiria,Pombal,53
485,2014.0,Leiria,Porto De Mós,4
486,2014.0,Leiria,Porto de Mós,16
487,2014.0,Leiria,Óbidos,63
488,2014.0,Lisboa,Alenquer,77
489,2014.0,Lisboa,Amadora,29
490,2014.0,Lisboa,Arruda dos Vinhos,27
491,2014.0,Lisboa,Azambuja,47
492,2014.0,Lisboa,Cadaval,24
493,2014.0,Lisboa,Cascais,63
494,2014.0,Lisboa,Lisboa,135
495,2014.0,Lisboa,Loures,75
496,2014.0,Lisboa,Lourinhã,37
497,2014.0,Lisboa,Mafra,29
498,2014.0,Lisboa,ODIVELAS,17
499,2014.0,Lisboa,Odivelas,47
500,2014.0,Lisboa,Oeiras,47
501,2014.0,Lisboa,Sintra,165
502,2014.0,Lisboa,Sobral De Monte Agraço,4
503,2014.0,Lisboa,Sobral de Monte Agraço,12
504,2014.0,Lisboa,Torres Vedras,103
505,2014.0,Lisboa,Vila Franca De Xira,12
506,2014.0,Lisboa,Vila Franca de Xira,45
507,2014.0,Portalegre,Alter do Chão,5
508,2014.0,Portalegre,Arronches,10
509,2014.0,Portalegre,Avis,9
510,2014.0,Portalegre,Campo Maior,27
511,2014.0,Portalegre,Castelo De Vide,1
512,2014.0,Portalegre,Castelo de Vide,2
513,2014.0,Portalegre,Crato,5
514,2014.0,Portalegre,Elvas,57
515,2014.0,Portalegre,Fronteira,4
516,2014.0,Portalegre,Gavião,12
517,2014.0,Portalegre,Marvão,10
518,2014.0,Portalegre,Monforte,9
519,2014.0,Portalegre,Nisa,17
520,2014.0,Portalegre,Ponte De Sor,2
521,2014.0,Portalegre,Ponte de Sor,11
522,2014.0,Portalegre,Portalegre,20
523,2014.0,Portalegre,Sousel,7
524,2014.0,Porto,Amarante,111
525,2014.0,Porto,Baião,44
526,2014.0,Porto,Felgueiras,96
527,2014.0,Porto,Gondomar,164
528,2014.0,Porto,Lousada,80
529,2014.0,Porto,Maia,50
530,2014.0,Porto,Marco De Canaveses,37
531,2014.0,Porto,Marco de Canaveses,59
532,2014.0,Porto,Matosinhos,35
533,2014.0,Porto,Paredes,160
534,2014.0,Porto,Paços De Ferreira,2
535,2014.0,Porto,Paços de Ferreira,44
536,2014.0,Porto,Penafiel,186
537,2014.0,Porto,Póvoa De Varzim,4
538,2014.0,Porto,Póvoa de Varzim,22
539,2014.0,Porto,Santo Tirso,80
540,2014.0,Porto,TROFA,17
541,2014.0,Porto,Trofa,19
542,2014.0,Porto,Valongo,116
543,2014.0,Porto,Vila Do Conde,39
544,2014.0,Porto,Vila Nova De Gaia,66
545,2014.0,Porto,Vila Nova de Gaia,47
546,2014.0,Porto,Vila do Conde,25
547,2014.0,Santarém,Abrantes,34
548,2014.0,Santarém,Alcanena,26
549,2014.0,Santarém,Almeirim,30
550,2014.0,Santarém,Alpiarça,18
551,2014.0,Santarém,Benavente,34
552,2014.0,Santarém,Cartaxo,33
553,2014.0,Santarém,Chamusca,15
554,2014.0,Santarém,Constância,9
555,2014.0,Santarém,Coruche,34
556,2014.0,Santarém,Entroncamento,6
557,2014.0,Santarém,Ferreira do Zêzere,6
558,2014.0,Santarém,Golegã,4
559,2014.0,Santarém,Mação,12
560,2014.0,Santarém,Ourém,45
561,2014.0,Santarém,Rio Maior,20
562,2014.0,Santarém,Salvaterra De Magos,3
563,2014.0,Santarém,Salvaterra de Magos,34
564,2014.0,Santarém,Santarém,103
565,2014.0,Santarém,Sardoal,5
566,2014.0,Santarém,Tomar,79
567,2014.0,Santarém,Torres Novas,38
568,2014.0,Santarém,Vila Nova da Barquinha,10
569,2014.0,Setúbal,Alcochete,16
570,2014.0,Setúbal,Alcácer Do Sal,12
571,2014.0,Setúbal,Alcácer do Sal,8
572,2014.0,Setúbal,Almada,107
573,2014.0,Setúbal,Barreiro,23
574,2014.0,Setúbal,Grândola,24
575,2014.0,Setúbal,Moita,60
576,2014.0,Setúbal,Montijo,78
577,2014.0,Setúbal,Palmela,73
578,2014.0,Setúbal,Santiago do Cacém,28
579,2014.0,Setúbal,Seixal,57
580,2014.0,Setúbal,Sesimbra,26
581,2014.0,Setúbal,Setúbal,45
582,2014.0,Setúbal,Sines,11
583,2014.0,Viana Do Castelo,Arcos De Valdevez,29
584,2014.0,Viana Do Castelo,Caminha,12
585,2014.0,Viana Do Castelo,Melgaço,1
586,2014.0,Viana Do Castelo,Monção,12
587,2014.0,Viana Do Castelo,Paredes De Coura,6
588,2014.0,Viana Do Castelo,Ponte Da Barca,25
589,2014.0,Viana Do Castelo,Ponte De Lima,32
590,2014.0,Viana Do Castelo,Valença,12
591,2014.0,Viana Do Castelo,Viana Do Castelo,24
592,2014.0,Viana Do Castelo,Vila Nova De Cerveira,1
593,2014.0,Viana do Castelo,Arcos de Valdevez,52
594,2014.0,Viana do Castelo,Caminha,17
595,2014.0,Viana do Castelo,Melgaço,3
596,2014.0,Viana do Castelo,Monção,16
597,2014.0,Viana do Castelo,Paredes de Coura,10
598,2014.0,Viana do Castelo,Ponte da Barca,11
599,2014.0,Viana do Castelo,Ponte de Lima,48
600,2014.0,Viana do Castelo,Valença,16
601,2014.0,Viana do Castelo,Viana do Castelo,52
602,2014.0,Viana do Castelo,Vila Nova de Cerveira,3
603,2014.0,Vila Real,Alijó,30
604,2014.0,Vila Real,Boticas,38
605,2014.0,Vila Real,Chaves,58
606,2014.0,Vila Real,Mesão Frio,5
607,2014.0,Vila Real,Mesão frio,1
608,2014.0,Vila Real,Mondim De Basto,4
609,2014.0,Vila Real,Mondim de Basto,9
610,2014.0,Vila Real,Montalegre,92
611,2014.0,Vila Real,Murça,15
612,2014.0,Vila Real,Peso Da Régua,2
613,2014.0,Vila Real,Peso da Régua,3
614,2014.0,Vila Real,Ribeira De Pena,23
615,2014.0,Vila Real,Ribeira de Pena,16
616,2014.0,Vila Real,Sabrosa,17
617,2014.0,Vila Real,Santa Marta De Penaguião,3
618,2014.0,Vila Real,Santa Marta de Penaguião,6
619,2014.0,Vila Real,Valpaços,85
620,2014.0,Vila Real,Vila Pouca De Aguiar,3
621,2014.0,Vila Real,Vila Pouca de Aguiar,63
622,2014.0,Vila Real,Vila Real,31
623,2014.0,Viseu,Armamar,11
624,2014.0,Viseu,Carregal Do Sal,1
625,2014.0,Viseu,Carregal do Sal,23
626,2014.0,Viseu,Castro Daire,35
627,2014.0,Viseu,Cinfães,73
