ANO,DISTRITO,CONCELHO,NCCO
2015,Coimbra,Tábua,43
2015,Coimbra,Vila Nova de Poiares,14
2015,Faro,Albufeira,31
2015,Faro,Alcoutim,12
2015,Faro,Aljezur,12
2015,Faro,Castro Marim,15
2015,Faro,Faro,44
2015,Faro,lagoa,15
2015,Faro,Lagos,15
2015,Faro,Loulé,75
2015,Faro,Monchique,16
2015,Faro,Olhão,34
2015,Faro,Portimão,18
2015,Faro,Silves,55
2015,Faro,São Brás de Alportel,11
2015,Faro,Tavira,34
2015,Faro,Vila do Bispo,12
2015,Faro,Vila Real de Santo António,6
2015,Guarda,Aguiar da Beira,8
2015,Guarda,Almeida,35
2015,Guarda,Celorico da Beira,25
2015,Guarda,Figueira de Castelo Rodrigo,53
2015,Guarda,Fornos de Algodres,3
2015,Guarda,Gouveia,63
2015,Guarda,Guarda,58
2015,Guarda,Manteigas,3
2015,Guarda,mêda,46
2015,Guarda,Pinhel,30
2015,Guarda,Sabugal,70
2015,Guarda,Seia,67
2015,Guarda,Trancoso,40
2015,Guarda,Vila Nova de Foz Côa,55
2015,Leiria,Alcobaça,109
2015,Leiria,Alvaiázere,18
2015,Leiria,Ansião,33
2015,Leiria,Batalha,18
2015,Leiria,Bombarral,34
2015,Leiria,Caldas da Rainha,133
2015,Leiria,Castanheira de Pêra,8
2015,Leiria,Figueiró dos Vinhos,12
2015,Leiria,Leiria,129
2015,Leiria,Marinha Grande,24
2015,Leiria,Nazaré,18
2015,Leiria,Pedrógão Grande,51
2015,Leiria,Peniche,42
2015,Leiria,Pombal,104
2015,Leiria,Porto de Mós,60
2015,Leiria,Óbidos,63
2015,Lisboa,Alenquer,159
2015,Lisboa,Amadora,87
2015,Lisboa,Arruda dos Vinhos,67
2015,Lisboa,Azambuja,94
2015,Lisboa,Cadaval,53
2015,Lisboa,Cascais,81
2015,Lisboa,Lisboa,78
2015,Lisboa,Loures,157
2015,Lisboa,Lourinhã,86
2015,Lisboa,Mafra,95
2015,Lisboa,Odivelas,99
2015,Lisboa,Oeiras,44
2015,Lisboa,Sintra,266
2015,Lisboa,Sobral de Monte Agraço,53
2015,Lisboa,Torres Vedras,176
2015,Lisboa,Vila Franca de Xira,81
2015,Portalegre,Alter do Chão,11
2015,Portalegre,Arronches,15
2015,Portalegre,Avis,14
2015,Portalegre,Campo Maior,34
2015,Portalegre,Castelo de Vide,8
2015,Portalegre,Crato,8
2015,Portalegre,Elvas,82
2015,Portalegre,Fronteira,6
2015,Portalegre,Gavião,10
2015,Portalegre,Marvão,18
2015,Portalegre,Monforte,7
2015,Portalegre,Nisa,21
2015,Portalegre,Ponte de Sor,43
2015,Portalegre,Portalegre,29
2015,Portalegre,Sousel,10
2015,Porto,Amarante,323
2015,Porto,Baião,136
2015,Porto,Felgueiras,310
2015,Porto,Gondomar,348
2015,Porto,Lousada,239
2015,Porto,Maia,215
2015,Porto,Marco de Canaveses,248
2015,Porto,Matosinhos,94
2015,Porto,Paredes,401
2015,Porto,Paços de Ferreira,220
2015,Porto,Penafiel,444
2015,Porto,Porto,1
2015,Porto,Póvoa de Varzim,65
2015,Porto,Santo Tirso,302
2015,Porto,Trofa,95
2015,Porto,Valongo,131
2015,Porto,Vila do Conde,136
2015,Porto,Vila Nova de Gaia,286
2015,Santarém,Abrantes,80
2015,Santarém,Alcanena,62
2015,Santarém,Almeirim,34
2015,Santarém,Alpiarça,30
2015,Santarém,Benavente,80
2015,Santarém,Cartaxo,42
2015,Santarém,Chamusca,27
2015,Santarém,Constância,20
2015,Santarém,Coruche,67
2015,Santarém,Entroncamento,19
2015,Santarém,Ferreira do Zêzere,13
2015,Santarém,Golegã,11
2015,Santarém,Mação,25
2015,Santarém,Ourém,78
2015,Santarém,Rio Maior,61
2015,Santarém,Salvaterra de Magos,57
2015,Santarém,Santarém,162
2015,Santarém,Sardoal,8
2015,Santarém,Tomar,111
2015,Santarém,Torres Novas,60
2015,Santarém,Vila Nova da Barquinha,12
2015,Setúbal,Alcochete,30
2015,Setúbal,Alcácer do Sal,36
2015,Setúbal,Almada,165
2015,Setúbal,Barreiro,67
2015,Setúbal,Grândola,65
2015,Setúbal,Moita,99
2015,Setúbal,Montijo,111
2015,Setúbal,Palmela,151
2015,Setúbal,Santiago do Cacém,37
2015,Setúbal,Seixal,129
2015,Setúbal,Sesimbra,29
2015,Setúbal,Setúbal,87
2015,Setúbal,Sines,17
2015,Viana do Castelo,Arcos de Valdevez,302
2015,Viana do Castelo,Caminha,94
2015,Viana do Castelo,Melgaço,17
2015,Viana do Castelo,Monção,95
2015,Viana do Castelo,Paredes de Coura,62
2015,Viana do Castelo,Ponte da Barca,173
2015,Viana do Castelo,Ponte de Lima,267
2015,Viana do Castelo,Valença,57
2015,Viana do Castelo,Viana do Castelo,221
2015,Viana do Castelo,Vila Nova de Cerveira,33
2015,Vila Real,Alijó,64
2015,Vila Real,Boticas,98
2015,Vila Real,Chaves,181
2015,Vila Real,Mesão Frio,10
2015,Vila Real,Mondim de Basto,31
2015,Vila Real,Montalegre,321
2015,Vila Real,Murça,40
2015,Vila Real,Peso da Régua,34
2015,Vila Real,Ribeira de Pena,88
2015,Vila Real,Sabrosa,24
2015,Vila Real,Santa Marta de Penaguião,22
2015,Vila Real,Valpaços,175
2015,Vila Real,Vila Pouca de Aguiar,114
2015,Vila Real,Vila Real,114
2015,Viseu,Armamar,20
2015,Viseu,Carregal do Sal,17
